,customer_id,payment_type_id,internet_service_type_id,contract_type_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,monthly_charges,total_charges,churn,contract_type,internet_service_type,payment_type,contract_type_id,paperless_billing,gender,senior_citizen,partner,dependents,payment_type_id,monthly_charges,total_charges,signup_date,phone_service,multiple_lines,internet_service_type_id,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies
10,0017-DINOC,4,1,3,Male,0,No,No,54,No,No phone service,Yes,No,No,Yes,Yes,No,No,45.2,2460.55,No,Two year,DSL,Credit card (automatic),3,No,Male,0,No,No,4,45.2,2460.55,2017-07-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,Yes,No
11,0017-IUDMW,4,2,3,Female,0,Yes,Yes,72,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.8,8456.75,No,Two year,Fiber optic,Credit card (automatic),3,Yes,Female,0,Yes,Yes,4,116.8,8456.75,2016-01-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
12,0018-NYROU,1,2,1,Female,0,Yes,No,5,Yes,No,No,No,No,No,No,No,Yes,68.95,351.5,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,0,Yes,No,1,68.95,351.5,2021-08-21 18:07:34,Yes,No,2,No,No,No,No,No,No
13,0019-EFAEP,3,2,3,Female,0,No,No,72,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,101.3,7261.25,No,Two year,Fiber optic,Bank transfer (automatic),3,Yes,Female,0,No,No,3,101.3,7261.25,2016-01-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,No,Yes,No
14,0019-GFNTW,3,1,3,Female,0,No,No,56,No,No phone service,Yes,Yes,Yes,Yes,No,No,No,45.05,2560.1,No,Two year,DSL,Bank transfer (automatic),3,No,Female,0,No,No,3,45.05,2560.1,2017-05-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,Yes,No,No
15,0020-INWCK,4,2,3,Female,0,Yes,Yes,71,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,95.75,6849.4,No,Two year,Fiber optic,Credit card (automatic),3,Yes,Female,0,Yes,Yes,4,95.75,6849.4,2016-02-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,No,Yes
16,0020-JDNXP,2,1,2,Female,0,Yes,Yes,34,No,No phone service,Yes,No,Yes,Yes,Yes,Yes,No,61.25,1993.2,No,One year,DSL,Mailed check,2,No,Female,0,Yes,Yes,2,61.25,1993.2,2019-03-21 18:07:34,No,No phone service,1,Yes,No,Yes,Yes,Yes,Yes
17,0021-IKXGC,1,2,1,Female,1,No,No,1,Yes,Yes,No,No,No,No,No,No,Yes,72.1,72.1,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,1,No,No,1,72.1,72.1,2021-12-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
18,0022-TCJCI,4,1,2,Male,1,No,No,45,Yes,No,Yes,No,Yes,No,No,Yes,No,62.7,2791.5,Yes,One year,DSL,Credit card (automatic),2,No,Male,1,No,No,4,62.7,2791.5,2018-04-21 18:07:34,Yes,No,1,Yes,No,Yes,No,No,Yes
19,0023-HGHWL,1,1,1,Male,1,No,No,1,No,No phone service,No,No,No,No,No,No,Yes,25.1,25.1,Yes,Month-to-month,DSL,Electronic check,1,Yes,Male,1,No,No,1,25.1,25.1,2021-12-21 18:07:34,No,No phone service,1,No,No,No,No,No,No
20,0023-UYUPN,1,3,2,Female,1,Yes,No,50,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.2,1306.3,No,One year,None,Electronic check,2,No,Female,1,Yes,No,1,25.2,1306.3,2017-11-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
21,0023-XUOPT,1,2,1,Female,0,Yes,No,13,Yes,Yes,No,Yes,Yes,No,Yes,No,No,94.1,1215.6,Yes,Month-to-month,Fiber optic,Electronic check,1,No,Female,0,Yes,No,1,94.1,1215.6,2020-12-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,No
22,0027-KWYKW,1,2,1,Female,0,Yes,Yes,23,Yes,Yes,No,No,No,No,Yes,No,Yes,83.75,1849.95,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,0,Yes,Yes,1,83.75,1849.95,2020-02-21 18:07:34,Yes,Yes,2,No,No,No,No,Yes,No
23,0030-FNXPP,2,3,1,Female,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.85,57.2,No,Month-to-month,None,Mailed check,1,No,Female,0,No,No,2,19.85,57.2,2021-10-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
24,0031-PVLZI,2,3,1,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.35,76.35,Yes,Month-to-month,None,Mailed check,1,No,Female,0,Yes,Yes,2,20.35,76.35,2021-09-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
25,0032-PGELS,3,1,1,Female,0,Yes,Yes,1,No,No phone service,Yes,No,No,No,No,No,No,30.5,30.5,Yes,Month-to-month,DSL,Bank transfer (automatic),1,No,Female,0,Yes,Yes,3,30.5,30.5,2021-12-21 18:07:34,No,No phone service,1,Yes,No,No,No,No,No
26,0036-IHMOT,3,2,2,Female,0,Yes,Yes,55,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,103.7,5656.75,No,One year,Fiber optic,Bank transfer (automatic),2,Yes,Female,0,Yes,Yes,3,103.7,5656.75,2017-06-21 18:07:34,Yes,No,2,No,Yes,Yes,Yes,Yes,Yes
27,0040-HALCW,4,3,3,Male,0,Yes,Yes,54,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.4,1090.6,No,Two year,None,Credit card (automatic),3,No,Male,0,Yes,Yes,4,20.4,1090.6,2017-07-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
28,0042-JVWOJ,3,3,2,Male,0,No,No,26,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.6,471.85,No,One year,None,Bank transfer (automatic),2,Yes,Male,0,No,No,3,19.6,471.85,2019-11-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
29,0042-RLHYP,3,3,3,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,19.7,1396.9,No,Two year,None,Bank transfer (automatic),3,No,Female,0,Yes,Yes,3,19.7,1396.9,2016-04-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
30,0048-LUMLS,4,2,2,Male,0,Yes,Yes,37,Yes,No,No,No,No,No,Yes,Yes,No,91.2,3247.55,No,One year,Fiber optic,Credit card (automatic),2,No,Male,0,Yes,Yes,4,91.2,3247.55,2018-12-21 18:07:34,Yes,No,2,No,No,No,No,Yes,Yes
31,0048-PIHNL,3,3,2,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.45,900.9,No,One year,None,Bank transfer (automatic),2,No,Female,0,Yes,No,3,20.45,900.9,2017-12-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
32,0052-DCKON,3,2,2,Male,0,Yes,No,66,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,115.8,7942.15,No,One year,Fiber optic,Bank transfer (automatic),2,No,Male,0,Yes,No,3,115.8,7942.15,2016-07-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
33,0052-YNYOT,1,3,2,Female,0,No,No,67,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.55,1343.4,No,One year,None,Electronic check,2,No,Female,0,No,No,1,20.55,1343.4,2016-06-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
34,0056-EPFBG,4,1,3,Male,0,Yes,Yes,20,No,No phone service,Yes,No,Yes,Yes,No,No,Yes,39.4,825.4,No,Two year,DSL,Credit card (automatic),3,Yes,Male,0,Yes,Yes,4,39.4,825.4,2020-05-21 18:07:34,No,No phone service,1,Yes,No,Yes,Yes,No,No
35,0057-QBUQH,1,3,3,Female,0,No,Yes,43,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,25.1,1070.15,No,Two year,None,Electronic check,3,Yes,Female,0,No,Yes,1,25.1,1070.15,2018-06-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
36,0058-EVZWM,3,2,1,Female,0,Yes,No,55,Yes,Yes,Yes,No,No,No,Yes,No,Yes,89.8,4959.6,No,Month-to-month,Fiber optic,Bank transfer (automatic),1,Yes,Female,0,Yes,No,3,89.8,4959.6,2017-06-21 18:07:34,Yes,Yes,2,Yes,No,No,No,Yes,No
37,0060-FUALY,1,2,1,Female,0,Yes,No,59,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,94.75,5597.65,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,0,Yes,No,1,94.75,5597.65,2017-02-21 18:07:34,Yes,Yes,2,Yes,Yes,No,No,Yes,No
38,0064-SUDOG,3,3,3,Female,0,Yes,Yes,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,20.3,224.5,No,Two year,None,Bank transfer (automatic),3,No,Female,0,Yes,Yes,3,20.3,224.5,2021-01-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
39,0064-YIJGF,3,2,1,Male,0,Yes,Yes,27,Yes,Yes,No,No,No,No,No,No,Yes,75.75,1929,No,Month-to-month,Fiber optic,Bank transfer (automatic),1,Yes,Male,0,Yes,Yes,3,75.75,1929,2019-10-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
40,0067-DKWBL,1,1,1,Male,1,No,No,2,Yes,No,Yes,No,No,No,No,No,Yes,49.25,91.1,Yes,Month-to-month,DSL,Electronic check,1,Yes,Male,1,No,No,1,49.25,91.1,2021-11-21 18:07:34,Yes,No,1,Yes,No,No,No,No,No
41,0068-FIGTF,2,1,2,Female,0,No,No,27,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,78.2,2078.95,No,One year,DSL,Mailed check,2,No,Female,0,No,No,2,78.2,2078.95,2019-10-21 18:07:34,Yes,No,1,No,Yes,Yes,Yes,Yes,Yes
42,0071-NDAFP,4,3,3,Male,0,Yes,Yes,25,Yes,Yes,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,No,25.5,630.6,No,Two year,None,Credit card (automatic),3,No,Male,0,Yes,Yes,4,25.5,630.6,2019-12-21 18:07:34,Yes,Yes,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
43,0074-HDKDG,3,1,2,Male,0,Yes,Yes,25,Yes,No,Yes,Yes,Yes,No,No,No,Yes,61.6,1611,No,One year,DSL,Bank transfer (automatic),2,Yes,Male,0,Yes,Yes,3,61.6,1611,2019-12-21 18:07:34,Yes,No,1,Yes,Yes,Yes,No,No,No
44,0076-LVEPS,2,1,1,Male,0,No,Yes,29,No,No phone service,Yes,Yes,Yes,Yes,No,No,Yes,45.0,1242.45,No,Month-to-month,DSL,Mailed check,1,Yes,Male,0,No,Yes,2,45.0,1242.45,2019-08-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,Yes,No,No
45,0078-XZMHT,3,1,3,Male,0,Yes,No,72,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,85.15,6316.2,No,Two year,DSL,Bank transfer (automatic),3,Yes,Male,0,Yes,No,3,85.15,6316.2,2016-01-21 18:07:34,Yes,Yes,1,No,Yes,Yes,Yes,Yes,Yes
46,0080-EMYVY,4,1,2,Female,0,No,No,14,Yes,No,No,Yes,No,No,No,No,No,51.45,727.85,No,One year,DSL,Credit card (automatic),2,No,Female,0,No,No,4,51.45,727.85,2020-11-21 18:07:34,Yes,No,1,No,Yes,No,No,No,No
47,0080-OROZO,1,2,2,Female,0,No,No,35,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,99.25,3532,No,One year,Fiber optic,Electronic check,2,Yes,Female,0,No,No,1,99.25,3532,2019-02-21 18:07:34,Yes,No,2,No,No,Yes,Yes,Yes,Yes
48,0082-LDZUE,2,1,1,Male,0,No,No,1,Yes,No,No,No,No,No,No,No,Yes,44.3,44.3,No,Month-to-month,DSL,Mailed check,1,Yes,Male,0,No,No,2,44.3,44.3,2021-12-21 18:07:34,Yes,No,1,No,No,No,No,No,No
49,0082-OQIQY,1,2,1,Male,0,No,No,29,Yes,No,No,No,No,Yes,Yes,Yes,Yes,94.2,2607.6,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,No,No,1,94.2,2607.6,2019-08-21 18:07:34,Yes,No,2,No,No,No,Yes,Yes,Yes
50,0083-PIVIK,1,1,2,Male,0,No,No,64,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,81.25,5567.55,No,One year,DSL,Electronic check,2,No,Male,0,No,No,1,81.25,5567.55,2016-09-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,No
51,0089-IIQKO,4,2,1,Female,0,Yes,Yes,39,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,99.95,3767.4,No,Month-to-month,Fiber optic,Credit card (automatic),1,Yes,Female,0,Yes,Yes,4,99.95,3767.4,2018-10-21 18:07:34,Yes,Yes,2,No,No,No,Yes,Yes,Yes
52,0093-EXYQL,1,2,1,Female,1,No,No,40,Yes,No,No,No,No,No,Yes,Yes,Yes,91.55,3673.6,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,1,No,No,1,91.55,3673.6,2018-09-21 18:07:34,Yes,No,2,No,No,No,No,Yes,Yes
53,0093-XWZFY,4,2,1,Male,0,No,No,40,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.5,4036.85,Yes,Month-to-month,Fiber optic,Credit card (automatic),1,Yes,Male,0,No,No,4,104.5,4036.85,2018-09-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
54,0094-OIFMO,1,2,1,Female,1,No,No,11,Yes,No,No,Yes,No,No,Yes,Yes,Yes,95.0,1120.3,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,1,No,No,1,95.0,1120.3,2021-02-21 18:07:34,Yes,No,2,No,Yes,No,No,Yes,Yes
55,0096-BXERS,1,1,1,Female,0,Yes,No,6,Yes,Yes,No,No,No,No,No,No,No,50.35,314.55,No,Month-to-month,DSL,Electronic check,1,No,Female,0,Yes,No,1,50.35,314.55,2021-07-21 18:07:34,Yes,Yes,1,No,No,No,No,No,No
56,0096-FCPUF,2,1,1,Male,0,No,No,30,Yes,Yes,Yes,No,No,No,No,Yes,Yes,64.5,1888.45,No,Month-to-month,DSL,Mailed check,1,Yes,Male,0,No,No,2,64.5,1888.45,2019-07-21 18:07:34,Yes,Yes,1,Yes,No,No,No,No,Yes
57,0098-BOWSO,1,3,1,Male,0,No,No,27,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.4,529.8,No,Month-to-month,None,Electronic check,1,Yes,Male,0,No,No,1,19.4,529.8,2019-10-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
58,0100-DUVFC,1,2,2,Male,1,Yes,No,70,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,104.8,7308.95,No,One year,Fiber optic,Electronic check,2,Yes,Male,1,Yes,No,1,104.8,7308.95,2016-03-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
59,0103-CSITQ,3,2,2,Female,0,Yes,No,57,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,109.4,6252.7,No,One year,Fiber optic,Bank transfer (automatic),2,Yes,Female,0,Yes,No,3,109.4,6252.7,2017-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
60,0104-PPXDV,4,1,2,Male,0,Yes,No,58,Yes,No,No,No,Yes,No,No,No,No,50.3,2878.55,No,One year,DSL,Credit card (automatic),2,No,Male,0,Yes,No,4,50.3,2878.55,2017-03-21 18:07:34,Yes,No,1,No,No,Yes,No,No,No
61,0106-GHRQR,3,1,1,Male,0,No,No,16,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,71.4,1212.1,No,Month-to-month,DSL,Bank transfer (automatic),1,Yes,Male,0,No,No,3,71.4,1212.1,2020-09-21 18:07:34,Yes,Yes,1,No,Yes,Yes,No,No,Yes
62,0106-UGRDO,1,2,3,Female,0,Yes,No,69,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,116.0,8182.85,No,Two year,Fiber optic,Electronic check,3,Yes,Female,0,Yes,No,1,116.0,8182.85,2016-04-21 18:07:34,Yes,Yes,2,Yes,Yes,Yes,Yes,Yes,Yes
63,0107-WESLM,1,3,1,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.85,19.85,Yes,Month-to-month,None,Electronic check,1,Yes,Male,0,No,No,1,19.85,19.85,2021-12-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
64,0107-YHINA,1,2,1,Male,0,No,Yes,1,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,99.75,99.75,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,No,Yes,1,99.75,99.75,2021-12-21 18:07:34,Yes,Yes,2,No,No,Yes,No,Yes,Yes
65,0111-KLBQG,2,2,1,Male,1,Yes,Yes,32,Yes,No,No,Yes,No,No,Yes,Yes,Yes,93.95,2861.45,No,Month-to-month,Fiber optic,Mailed check,1,Yes,Male,1,Yes,Yes,2,93.95,2861.45,2019-05-21 18:07:34,Yes,No,2,No,Yes,No,No,Yes,Yes
66,0112-QAWRZ,3,2,1,Male,0,Yes,Yes,16,Yes,Yes,No,No,Yes,No,Yes,No,Yes,90.8,1442.2,No,Month-to-month,Fiber optic,Bank transfer (automatic),1,Yes,Male,0,Yes,Yes,3,90.8,1442.2,2020-09-21 18:07:34,Yes,Yes,2,No,No,Yes,No,Yes,No
67,0112-QWPNC,1,1,2,Male,0,Yes,No,49,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,84.35,4059.35,Yes,One year,DSL,Electronic check,2,No,Male,0,Yes,No,1,84.35,4059.35,2017-12-21 18:07:34,Yes,Yes,1,Yes,No,Yes,Yes,Yes,Yes
68,0114-IGABW,3,1,3,Female,0,Yes,No,71,No,No phone service,No,Yes,Yes,Yes,Yes,Yes,No,58.25,4145.9,No,Two year,DSL,Bank transfer (automatic),3,No,Female,0,Yes,No,3,58.25,4145.9,2016-02-21 18:07:34,No,No phone service,1,No,Yes,Yes,Yes,Yes,Yes
69,0114-PEGZZ,1,2,1,Female,0,No,No,33,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,107.55,3645.5,No,Month-to-month,Fiber optic,Electronic check,1,No,Female,0,No,No,1,107.55,3645.5,2019-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,No,Yes,Yes
70,0114-RSRRW,3,3,1,Female,0,Yes,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,19.95,187.75,No,Month-to-month,None,Bank transfer (automatic),1,Yes,Female,0,Yes,No,3,19.95,187.75,2021-03-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
71,0115-TFERT,1,2,1,Male,0,Yes,No,21,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,111.2,2317.1,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,Yes,No,1,111.2,2317.1,2020-04-21 18:07:34,Yes,Yes,2,No,Yes,Yes,Yes,Yes,Yes
72,0117-LFRMW,3,1,1,Male,0,Yes,Yes,37,No,No phone service,Yes,Yes,Yes,No,No,No,No,40.2,1448.8,Yes,Month-to-month,DSL,Bank transfer (automatic),1,No,Male,0,Yes,Yes,3,40.2,1448.8,2018-12-21 18:07:34,No,No phone service,1,Yes,Yes,Yes,No,No,No
73,0118-JPNOY,4,2,1,Female,1,No,No,26,Yes,No,Yes,No,No,No,Yes,No,Yes,85.8,2193.65,No,Month-to-month,Fiber optic,Credit card (automatic),1,Yes,Female,1,No,No,4,85.8,2193.65,2019-11-21 18:07:34,Yes,No,2,Yes,No,No,No,Yes,No
74,0121-SNYRK,2,1,2,Male,0,No,No,50,No,No phone service,Yes,No,No,Yes,No,No,Yes,35.4,1748.9,No,One year,DSL,Mailed check,2,Yes,Male,0,No,No,2,35.4,1748.9,2017-11-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,No,No
75,0122-OAHPZ,1,2,1,Female,0,No,No,7,Yes,Yes,No,No,No,No,No,No,Yes,73.85,511.25,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,0,No,No,1,73.85,511.25,2021-06-21 18:07:34,Yes,Yes,2,No,No,No,No,No,No
76,0123-CRBRT,2,1,3,Female,0,Yes,Yes,61,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,88.1,5526.75,No,Two year,DSL,Mailed check,3,No,Female,0,Yes,Yes,2,88.1,5526.75,2016-12-21 18:07:34,Yes,Yes,1,Yes,Yes,Yes,Yes,Yes,Yes
77,0125-LZQXK,1,2,1,Male,0,No,No,15,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,101.35,1553.95,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,No,No,1,101.35,1553.95,2020-10-21 18:07:34,Yes,No,2,No,No,Yes,Yes,Yes,Yes
78,0128-MKWSG,2,1,1,Female,0,No,Yes,26,No,No phone service,Yes,No,No,Yes,No,Yes,No,45.8,1147,No,Month-to-month,DSL,Mailed check,1,No,Female,0,No,Yes,2,45.8,1147,2019-11-21 18:07:34,No,No phone service,1,Yes,No,No,Yes,No,Yes
79,0129-KPTWJ,1,2,1,Male,0,Yes,No,72,Yes,No,No,No,Yes,No,Yes,Yes,Yes,94.65,6747.35,No,Month-to-month,Fiber optic,Electronic check,1,Yes,Male,0,Yes,No,1,94.65,6747.35,2016-01-21 18:07:34,Yes,No,2,No,No,Yes,No,Yes,Yes
80,0129-QMPDR,3,3,2,Male,0,Yes,Yes,44,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Yes,20.5,865.05,No,One year,None,Bank transfer (automatic),2,Yes,Male,0,Yes,Yes,3,20.5,865.05,2018-05-21 18:07:34,Yes,No,3,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service
81,0130-SXOUN,4,2,1,Male,0,No,No,66,Yes,Yes,No,Yes,No,No,No,Yes,No,89.4,5976.9,No,Month-to-month,Fiber optic,Credit card (automatic),1,No,Male,0,No,No,4,89.4,5976.9,2016-07-21 18:07:34,Yes,Yes,2,No,Yes,No,No,No,Yes
82,0133-BMFZO,1,2,1,Female,0,No,No,2,Yes,No,Yes,Yes,No,Yes,No,No,Yes,86.25,181.65,Yes,Month-to-month,Fiber optic,Electronic check,1,Yes,Female,0,No,No,1,86.25,181.65,2021-11-21 18:07:34,Yes,No,2,Yes,Yes,No,Yes,No,No
83,0134-XWXCE,3,1,2,Female,1,No,No,44,Yes,No,No,No,Yes,Yes,Yes,Yes,No,74.85,3268.05,No,One year,DSL,Bank transfer (automatic),2,No,Female,1,No,No,3,74.85,3268.05,2018-05-21 18:07:34,Yes,No,1,No,No,Yes,Yes,Yes,Yes
84,0135-NMXAP,3,2,1,Female,0,No,No,12,Yes,Yes,No,Yes,No,No,Yes,No,Yes,89.75,1052.4,Yes,Month-to-month,Fiber optic,Bank transfer (automatic),1,Yes,Female,0,No,No,3,89.75,1052.4,2021-01-21 18:07:34,Yes,Yes,2,No,Yes,No,No,Yes,No
